PROJECT_TITLE,NIH_SPENDING_CATS
Social Determinants in the Link between Obesity and Cancer,Cancer; Hematology; Lymphoma; Nutrition; Obesity; Prevention; Rare Diseases; 
Brain-Penetrating Nanoparticle Therapeutics for Invasive Brain Cancer,Bioengineering; Biotechnology; Brain Cancer; Brain Disorders; Cancer; Clinical Research; Diagnostic Radiology; Nanotechnology; Neurosciences; Orphan Drug; Rare Diseases; 
Planning and Evaluation,Cancer; Clinical Research; 
Neural markers of speech error detection and correction abilities in aphasia,Aging; Aphasia; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Neurosciences; Rehabilitation; Stroke; 
Bridging Pediatric and Adult Biomarkers of Graft-Versus-Host-Disease,Cancer; Clinical Research; Orphan Drug; Pediatric; Rare Diseases; Transplantation; 
Sensitive and integrated microfluidic ChIP assays for studying transcriptional re,Bioengineering; Biotechnology; Cancer; Genetics; Human Genome; 
Task X16: Fecal Microbiota for Transplantation (FMT) Process Development,Biodefense; Biotechnology; Emerging Infectious Diseases; Immunization; Infectious Diseases; Transplantation; Vaccine Related; 
Early Substance Use in Rural American Indian and White/Anglo Youth,American Indians / Alaska Natives; Behavioral and Social Science; Clinical Research; Drug Abuse (NIDA only); Pediatric; Prevention; Rural Health; Substance Abuse; 
Neuromedical Core (Page 348),Aging; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Genetics; HIV/AIDS; Infectious Diseases; Mental Health; Neurodegenerative; Neurosciences; Prevention; 
The Impact of Oxytocin on the Neural Representation of Social Information,Basic Behavioral and Social Science; Behavioral and Social Science; Mental Health; Neurosciences; 
Ginsenocide Rb1: A Novel Anti-Obesity and Anti-Hyperglycemic Compound,Complementary and Alternative Medicine; Diabetes; Neurosciences; Nutrition; Obesity; Prevention; 
Immunohistochemistry Core Laboratory,Cancer; HIV/AIDS; 
Community Engagement/Outreach Core,Basic Behavioral and Social Science; Behavioral and Social Science; HIV/AIDS; Pediatric; Prevention; Rural Health; 
International Tuberculosis Research in China,Antimicrobial Resistance; Biodefense; Clinical Research; Clinical Trials and Supportive Activities; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; Lung; Rare Diseases; Tuberculosis; 
Magnetically Templated Regeneration Scaffolds for Nerve Injury Repair,Bioengineering; Biotechnology; Injury (total) Accidents/Adverse Effects; Neurosciences; Regenerative Medicine; Transplantation; 
Statistical methods for analyzing high-throughput genotype and sequencing data,Bioengineering; Genetics; Human Genome; 
The role of bone marrow macrophages in skeletal metastasis,Aging; Cancer; Clinical Research; Hematology; Orphan Drug; Prostate Cancer; Rare Diseases; Urologic Diseases; 
Data Coordination and Integration Center for LINCS-BD2K,Networking and Information Technology R&D; 
Glycine receptor synaptic plasticity,Neurosciences; Pain Conditions - Chronic; Pain Research; 
Role of miRNAs in Th2-Driven inflammation in Asthma,Asthma; Biotechnology; Genetics; Lung; 
SR Trans,Cancer; 
Adenosine in Renal Sympathetic Neurotransmission,Kidney Disease; Neurosciences; 
Discovery of New Genes for Inherited Predisposition to Breast Cancer by Exome Seq,Breast Cancer; Cancer; Clinical Research; Genetic Testing; Genetics; Human Genome; Prevention; 
Creating and Validating Child Adverse Event Reporting in Oncology Trials,Cancer; Clinical Research; Clinical Trials and Supportive Activities; Patient Safety; Pediatric; Pediatric Cancer; 
Determination of the mechanism of lenalidomide activity in acute myeloid leukemia,Biotechnology; Cancer; Childhood Leukemia; Genetics; Hematology; Orphan Drug; Pediatric; Pediatric Cancer; Rare Diseases; 
Magnetic Guidance for Improved Cochlear-Implant Insertion,Assistive Technology; Bioengineering; Diagnostic Radiology; Neurosciences; Rehabilitation; 
BLIMP-1 mediated regulation of CD8+ TIL,Cancer; Clinical Research; Immunization; Vaccine Related; 
Novel aspects of Epithelial-Mesenchymal Transition(EMT)in pancreatic cancer,Biotechnology; Cancer; Digestive Diseases; Pancreatic Cancer; Rare Diseases; 
Early Antiretroviral Therapy and HIV Remission in Perinatal Infection,Clinical Research; HIV/AIDS; Infectious Diseases; Pediatric; Pediatric AIDS; Perinatal Period - Conditions Originating in Perinatal Period; 
The Role of Cyclooxygenase-2 in Salt-Sensitive Hypertension,Cardiovascular; Hypertension; Kidney Disease; 
Whole-Body Angular Momentum During Walking on Varied Surfaces in Individuals with a Unilateral Transtibial Amputation: What are the Effects of Passive and Powered Prostheses on Fall Risk?,Assistive Technology; Bioengineering; Physical Rehabilitation; Prevention; Rehabilitation; 
Deconstructing Inflammation and Altered Microbiota In Metabolic Syndrome,Autoimmune Disease; Diabetes; Digestive Diseases; Inflammatory Bowel Disease; Nutrition; Obesity; 
Ephrins regulate stem cell proliferation following TBI,Brain Disorders; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Effect of Barrier Function on HIV Interactions in the Glans after Circumcision,Clinical Research; HIV/AIDS; Infectious Diseases; Prevention; Sexually Transmitted Diseases/Herpes; Urologic Diseases; 
Lymphatic Regulation of Skin Electrolyte Metabolism and Blood Pressure,Cardiovascular; Hypertension; 
